Taxon_Orig,Rank,Appendix E target,Modified,Rationale,OTU_BCG,OTU_IBI
Lumbriculida,Order,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Lumbriculidae,Family,class,no,,Lumbriculidae,Lumbriculidae
Lumbriculidae/Lumbricidae,Family,class,no,,Lumbriculidae/Lumbricidae,Lumbriculidae/Lumbricidae
Lutrochidae,Family,genus,no,,Lutrochidae,Lutrochidae
Lutrochus,Genus,genus,no,,Lutrochus,Lutrochus
Lutrochus laticeps,Species,genus,yes,level of taxonomic resolution,Lutrochus,Lutrochus
Lymnaea,Genus,genus,no,,Lymnaea,Lymnaea
Lymnaea stagnalis,Species,genus,yes,level of taxonomic resolution,Lymnaea,Lymnaea
Lymnaeidae,Family,genus,no,,Lymnaeidae,Lymnaeidae
Lymnaeinae,Subfamily,genus,no,,Lymnaeinae,Lymnaeinae
Lype,Genus,genus,no,,Lype,Lype
Lype diversa,Species,genus,yes,level of taxonomic resolution,Lype,Lype
Maccaffertium,SubGenus,genus,no,,Maccaffertium,Maccaffertium
Maccaffertium exiguum,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium ithaca,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium luteum,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium luteum/vicarium,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium mediopunctatum,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium meririvulanum,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium mexicanum,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium mexicanum integrum,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium modestum,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium modestum/smithae,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium pulchellum,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium smithae,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium terminatum,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium vicarium,Species,genus,yes,level of taxonomic resolution,Maccaffertium,Maccaffertium
Maccaffertium/Stenonema,Genus,genus,no,,Maccaffertium/Stenonema,Maccaffertium/Stenonema
Macdunnoa,Genus,genus,no,,Macdunnoa,Macdunnoa
Macromia,Genus,genus,no,,Macromia,Macromia
Macromia illinoiensis,Species,genus,yes,level of taxonomic resolution,Macromia,Macromia
Macromia taeniolata,Species,genus,yes,level of taxonomic resolution,Macromia,Macromia
Macromiidae,Family,genus,no,,Macromiidae,Macromiidae
Macromiinae,Subfamily,genus,no,,Macromiinae,Macromiinae
Macronema,Genus,genus,no,,Macronema,Macronema
Macronychus,Genus,genus,no,,Macronychus,Macronychus
Macronychus glabratus,Species,genus,yes,level of taxonomic resolution,Macronychus,Macronychus
Macropelopia,Genus,genus,no,,Macropelopia,Macropelopia
Macropelopia decedens,Species,genus,yes,level of taxonomic resolution,Macropelopia,Macropelopia
Macropelopiini,Tribe,genus,no,,Macropelopiini,Macropelopiini
Macrostemum,Genus,genus,no,,Macrostemum,Macrostemum
Macrostemum carolina,Species,genus,yes,level of taxonomic resolution,Macrostemum,Macrostemum
Macrostemum zebratum,Species,genus,yes,level of taxonomic resolution,Macrostemum,Macrostemum
Macrothemis,Genus,genus,no,,Macrothemis,Macrothemis
Macroveliidae,Family,genus,no,,Macroveliidae,Macroveliidae
Malenka,Genus,genus,no,,Malenka,Malenka
Malirekus,Genus,genus,no,,Malirekus,Malirekus
Malirekus hastatus,Species,genus,yes,level of taxonomic resolution,Malirekus,Malirekus
Mallochohelea,Genus,genus,no,,Mallochohelea,Mallochohelea
Mallochohelea/Probezzia,Genus,genus,no,,Mallochohelea/Probezzia,Mallochohelea/Probezzia
Manayunkia,Genus,,yes,non target,DNI,DNI
Manayunkia speciosa,Species,,yes,non target,DNI,DNI
Marilia,Genus,genus,no,,Marilia,Marilia
Marilia flexuosa,Species,genus,yes,level of taxonomic resolution,Marilia,Marilia
Maruina,Genus,genus,no,,Maruina,Maruina
Marvinmeyeria,Genus,genus,no,,Marvinmeyeria,Marvinmeyeria
Marvinmeyeria lucida,Species,genus,yes,level of taxonomic resolution,Marvinmeyeria,Marvinmeyeria
Matrioptila,Genus,genus,no,,Matrioptila,Matrioptila
Matrioptila jeanae,Species,genus,yes,level of taxonomic resolution,Matrioptila,Matrioptila
Mayatrichia,Genus,genus,no,,Mayatrichia,Mayatrichia
Mayatrichia ayama,Species,genus,yes,level of taxonomic resolution,Mayatrichia,Mayatrichia
Megadrile,SubClass,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Megadrili,Order,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Megaloptera,Order,genus,no,,Megaloptera,Megaloptera
Megascolecidae,Family,class,no,,Megascolecidae,Megascolecidae
Megistocera,Genus,genus,no,,Megistocera,Megistocera
Menetus,Genus,genus,no,,Menetus,Menetus
Menetus dilatatus,Species,genus,yes,level of taxonomic resolution,Menetus,Menetus
Meropelopia,Genus,genus,no,,Meropelopia,Meropelopia
Meropelopia/Thienemannimyia,Genus,genus,no,,Meropelopia/Thienemannimyia,Meropelopia/Thienemannimyia
Merragata,Genus,genus,no,,Merragata,Merragata
Merragata brunnea,Species,genus,yes,level of taxonomic resolution,Merragata,Merragata
Mesogastropoda,Order,genus,no,,Mesogastropoda,Mesogastropoda
Mesosmittia,Genus,genus,no,,Mesosmittia,Mesosmittia
Mesovelia,Genus,genus,no,,Mesovelia,Mesovelia
Mesovelia mulsanti,Species,genus,yes,level of taxonomic resolution,Mesovelia,Mesovelia
Mesoveliidae,Family,genus,no,,Mesoveliidae,Mesoveliidae
Metretopodidae,Family,genus,no,,Metretopodidae,Metretopodidae
Metrichia,Genus,genus,no,,Metrichia,Metrichia
Metriocnemus,Genus,genus,no,,Metriocnemus,Metriocnemus
Metriocnemus eurynotus,Species,genus,yes,level of taxonomic resolution,Metriocnemus,Metriocnemus
Metrobates,Genus,genus,no,,Metrobates,Metrobates
Metrobates hesperius,Species,genus,yes,level of taxonomic resolution,Metrobates,Metrobates
Micrasema,Genus,genus,no,,Micrasema,Micrasema
Micrasema burksi,Species,genus,yes,level of taxonomic resolution,Micrasema,Micrasema
Micrasema gelidum,Species,genus,yes,level of taxonomic resolution,Micrasema,Micrasema
Micrasema rickeri,Species,genus,yes,level of taxonomic resolution,Micrasema,Micrasema
Micrasema rusticum,Species,genus,yes,level of taxonomic resolution,Micrasema,Micrasema
Micrasema sprulesi,Species,genus,yes,level of taxonomic resolution,Micrasema,Micrasema
Micrasema wataga,Species,genus,yes,level of taxonomic resolution,Micrasema,Micrasema
Microchironomus,Genus,genus,no,,Microchironomus,Microchironomus
Microcylloepus,Genus,genus,no,,Microcylloepus,Microcylloepus
Microcylloepus pusillus,Species,genus,yes,level of taxonomic resolution,Microcylloepus,Microcylloepus
Micromenetus,Genus,genus,no,,Micromenetus,Micromenetus
Micromenetus dilatatus,Species,genus,yes,level of taxonomic resolution,Micromenetus,Micromenetus
Micropsectra,Genus,genus,no,,Micropsectra,Micropsectra
Micropsectra/Tanytarsus,Genus,genus,no,,Micropsectra/Tanytarsus,Micropsectra/Tanytarsus
Microtendipes,Genus,genus,no,,Microtendipes,Microtendipes
Microtendipes pedellus,Species,genus,yes,level of taxonomic resolution,Microtendipes,Microtendipes
Microtendipes pedellus Gr.,Genus,genus,yes,level of taxonomic resolution,Microtendipes,Microtendipes
Microtendipes pedellus group,Genus,genus,yes,level of taxonomic resolution,Microtendipes,Microtendipes
Microtendipes rydalensis,Species,genus,yes,level of taxonomic resolution,Microtendipes,Microtendipes
Microtendipes rydalensis Gr.,Genus,genus,yes,level of taxonomic resolution,Microtendipes,Microtendipes
Microtendipes rydalensis group,Genus,genus,yes,level of taxonomic resolution,Microtendipes,Microtendipes
Microvelia,Genus,genus,no,,Microvelia,Microvelia
Microvelia americana,Species,genus,yes,level of taxonomic resolution,Microvelia,Microvelia
Microvelia buenoi,Species,genus,yes,level of taxonomic resolution,Microvelia,Microvelia
Microvelia hinei,Species,genus,yes,level of taxonomic resolution,Microvelia,Microvelia
Microvelia pulchella,Species,genus,yes,level of taxonomic resolution,Microvelia,Microvelia
Mideopsidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Mideopsis,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Mochlonyx,Genus,genus,no,,Mochlonyx,Mochlonyx
Molanna,Genus,genus,no,,Molanna,Molanna
Molanna tryphena,Species,genus,yes,level of taxonomic resolution,Molanna,Molanna
Molannidae,Family,genus,no,,Molannidae,Molannidae
Mollusca,Phylum,,no,,Mollusca,Mollusca
Molophilus,Genus,genus,no,,Molophilus,Molophilus
Momoniidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Monodiamesa,Genus,genus,no,,Monodiamesa,Monodiamesa
Monohelea,Genus,genus,no,,Monohelea,Monohelea
Monopelopia,Genus,genus,no,,Monopelopia,Monopelopia
Mooreobdella,Genus,genus,no,,Mooreobdella,Mooreobdella
Mooreobdella fervida,Species,genus,yes,level of taxonomic resolution,Mooreobdella,Mooreobdella
Mooreobdella melanostoma,Species,genus,yes,level of taxonomic resolution,Mooreobdella,Mooreobdella
Mooreobdella microstoma,Species,genus,yes,level of taxonomic resolution,Mooreobdella,Mooreobdella
Munroessa,Genus,genus,no,,Munroessa,Munroessa
Muscidae,Family,genus,no,,Muscidae,Muscidae
Muscomorpha,SubOrder,genus,no,,Muscomorpha,Muscomorpha
Musculium,Genus,genus,no,,Musculium,Musculium
Mysidae,Family,,yes,non target,DNI,DNI
Mystacides,Genus,genus,no,,Mystacides,Mystacides
Mystacides sepulchralis,Species,genus,yes,level of taxonomic resolution,Mystacides,Mystacides
Myxosargus,Genus,genus,no,,Myxosargus,Myxosargus
Naididae,Family,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Naidinae,Subfamily,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Nais,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Nais (Animalia),Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Nais barbata,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Nais behningi,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Nais bretscheri,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Nais communis,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Nais elinguis,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Nais pardalis,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Nais simplex,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Nais variabilis,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Nanocladius,Genus,genus,no,,Nanocladius,Nanocladius
Nanocladius balticus,Species,genus,yes,level of taxonomic resolution,Nanocladius,Nanocladius
Nanocladius distinctus,Species,genus,yes,level of taxonomic resolution,Nanocladius,Nanocladius
Nanocladius downesi,Species,genus,yes,level of taxonomic resolution,Nanocladius,Nanocladius
Nasiaeschna,Genus,genus,no,,Nasiaeschna,Nasiaeschna
Nasiaeschna pentacantha,Species,genus,yes,level of taxonomic resolution,Nasiaeschna,Nasiaeschna
Natarsia,Genus,genus,no,,Natarsia,Natarsia
Naucoridae,Family,genus,no,,Naucoridae,Naucoridae
Nebrioporus,Genus,genus,no,,Nebrioporus,Nebrioporus
Nectopsyche,Genus,genus,no,,Nectopsyche,Nectopsyche
Nectopsyche albida,Species,genus,yes,level of taxonomic resolution,Nectopsyche,Nectopsyche
Nectopsyche candida,Species,genus,yes,level of taxonomic resolution,Nectopsyche,Nectopsyche
Nectopsyche diarina,Species,genus,yes,level of taxonomic resolution,Nectopsyche,Nectopsyche
Nectopsyche exquisita,Species,genus,yes,level of taxonomic resolution,Nectopsyche,Nectopsyche
Nectopsyche halia,Species,genus,yes,level of taxonomic resolution,Nectopsyche,Nectopsyche
Nehalennia,Genus,genus,no,,Nehalennia,Nehalennia
Nehalennia irene,Species,genus,yes,level of taxonomic resolution,Nehalennia,Nehalennia
Nemata,Phylum,phylum,no,,Nemata,Nemata
Nematocera,SubOrder,genus,no,,Nematocera,Nematocera
Nematoda,Genus,phylum,no,,Nematoda,Nematoda
Nematomorpha,Phylum,phylum,no,,Nematomorpha,Nematomorpha
Nemertea,Phylum,phylum,no,,Nemertea,Nemertea
Nemotaulius,Genus,genus,no,,Nemotaulius,Nemotaulius
Nemotaulius hostilis,Species,genus,yes,level of taxonomic resolution,Nemotaulius,Nemotaulius
Nemotelus,Genus,genus,no,,Nemotelus,Nemotelus
Nemoura,Genus,genus,no,,Nemoura,Nemoura
Nemoura trispinosa,Species,genus,yes,level of taxonomic resolution,Nemoura,Nemoura
Nemouridae,Family,genus,no,,Nemouridae,Nemouridae
Neoacaridae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Neobidessus,Genus,genus,no,,Neobidessus,Neobidessus
Neocylloepus,Genus,genus,no,,Neocylloepus,Neocylloepus
Neoelmis,Genus,genus,no,,Neoelmis,Neoelmis
Neoephemera,Genus,genus,no,,Neoephemera,Neoephemera
Neoephemera bicolor,Species,genus,yes,level of taxonomic resolution,Neoephemera,Neoephemera
Neoephemera purpurea,Species,genus,yes,level of taxonomic resolution,Neoephemera,Neoephemera
Neoephemeridae,Family,genus,no,,Neoephemeridae,Neoephemeridae
Neogerris,Genus,genus,no,,Neogerris,Neogerris
Neogerris hesione,Species,genus,yes,level of taxonomic resolution,Neogerris,Neogerris
Neoheterocerus,Genus,genus,no,,Neoheterocerus,Neoheterocerus
Neoleptophlebia,Genus,genus,no,,Neoleptophlebia,Neoleptophlebia
Neoperla,Genus,genus,no,,Neoperla,Neoperla
Neoperla harpi,Species,genus,yes,level of taxonomic resolution,Neoperla,Neoperla
Neoperla robisoni,Species,genus,yes,level of taxonomic resolution,Neoperla,Neoperla
Neoperla stewarti,Species,genus,yes,level of taxonomic resolution,Neoperla,Neoperla
Neophylax,Genus,genus,no,,Neophylax,Neophylax
Neophylax aniqua,Species,genus,yes,level of taxonomic resolution,Neophylax,Neophylax
Neophylax concinnus,Species,genus,yes,level of taxonomic resolution,Neophylax,Neophylax
Neophylax consimilis,Species,genus,yes,level of taxonomic resolution,Neophylax,Neophylax
Neophylax fuscus,Species,genus,yes,level of taxonomic resolution,Neophylax,Neophylax
Neophylax mitchelli,Species,genus,yes,level of taxonomic resolution,Neophylax,Neophylax
Neophylax oligius,Species,genus,yes,level of taxonomic resolution,Neophylax,Neophylax
Neoplasta,Genus,genus,no,,Neoplasta,Neoplasta
Neoplea,Genus,genus,no,,Neoplea,Neoplea
Neoplea striola,Species,genus,yes,level of taxonomic resolution,Neoplea,Neoplea
Neoporus,Genus,genus,no,,Neoporus,Neoporus
Neoporus dimidiatus,Species,genus,yes,level of taxonomic resolution,Neoporus,Neoporus
Neoporus undulatus,Species,genus,yes,level of taxonomic resolution,Neoporus,Neoporus
Neoporus vittatus,Species,genus,yes,level of taxonomic resolution,Neoporus,Neoporus
Neostempellina,Genus,genus,no,,Neostempellina,Neostempellina
Neostempellina reissi,Species,genus,yes,level of taxonomic resolution,Neostempellina,Neostempellina
Neotrichia,Genus,genus,no,,Neotrichia,Neotrichia
Neozavrelia,Genus,genus,no,,Neozavrelia,Neozavrelia
Nepa,Genus,genus,no,,Nepa,Nepa
Nepa apiculata,Species,genus,yes,level of taxonomic resolution,Nepa,Nepa
Nephelopsis,Genus,genus,no,now Erpobdella?,Nephelopsis,Nephelopsis
Nephelopsis obscura,Species,genus,yes,level of taxonomic resolution,Nephelopsis,Nephelopsis
Nepidae,Family,genus,no,,Nepidae,Nepidae
Nepticula,Genus,genus,no,,Nepticula,Nepticula
Nepticulidae,Family,genus,no,,Nepticulidae,Nepticulidae
Neumania,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Neureclipsis,Genus,genus,no,,Neureclipsis,Neureclipsis
Neurocordulia,Genus,genus,no,,Neurocordulia,Neurocordulia
Neurocordulia molesta,Species,genus,yes,level of taxonomic resolution,Neurocordulia,Neurocordulia
Neurocordulia xanthosoma,Species,genus,yes,level of taxonomic resolution,Neurocordulia,Neurocordulia
Neurocordulia yamaskanensis,Species,genus,yes,level of taxonomic resolution,Neurocordulia,Neurocordulia
Neuroptera,Order,genus,no,,Neuroptera,Neuroptera
Nigronia,Genus,genus,no,,Nigronia,Nigronia
Nigronia fasciatus,Species,genus,yes,level of taxonomic resolution,Nigronia,Nigronia
Nigronia serricornis,Species,genus,yes,level of taxonomic resolution,Nigronia,Nigronia
Nilobezzia,Genus,genus,no,,Nilobezzia,Nilobezzia
Nilotanypus,Genus,genus,no,,Nilotanypus,Nilotanypus
Nilotanypus fimbriatus,Species,genus,yes,level of taxonomic resolution,Nilotanypus,Nilotanypus
Nilothauma,Genus,genus,no,,Nilothauma,Nilothauma
Nimbocera,Genus,genus,no,,Nimbocera,Nimbocera
Nixe,Genus,genus,no,,Nixe,Nixe
Nixe lucidipennis,Species,genus,yes,level of taxonomic resolution,Nixe,Nixe
Noctuidae,Family,genus,no,,Noctuidae,Noctuidae
Noteridae,Family,genus,no,,Noteridae,Noteridae
Notonecta,Genus,genus,no,,Notonecta,Notonecta
Notonecta lunata,Species,genus,yes,level of taxonomic resolution,Notonecta,Notonecta
Notonecta undulata,Species,genus,yes,level of taxonomic resolution,Notonecta,Notonecta
Notonectidae,Family,genus,no,,Notonectidae,Notonectidae
Nyctiophylax,Genus,genus,no,,Nyctiophylax,Nyctiophylax
Nyctiophylax (Paranyctiophylax),SubGenus,genus,yes,level of taxonomic resolution,Nyctiophylax,Nyctiophylax
Nyctiophylax celta,Species,genus,yes,level of taxonomic resolution,Nyctiophylax,Nyctiophylax
Nymphomyia,Genus,genus,no,,Nymphomyia,Nymphomyia
nymphs,,,yes,non target,DNI,DNI
Nymphula,Genus,genus,no,,Nymphula,Nymphula
Nymphuliella,Genus,genus,no,,Nymphuliella,Nymphuliella
Ochlerotatus,Genus,genus,no,,Ochlerotatus,Ochlerotatus
Ochrotrichia,Genus,genus,no,,Ochrotrichia,Ochrotrichia
Ochthebius,Genus,genus,no,,Ochthebius,Ochthebius
Ochthera,Genus,genus,no,,Ochthera,Ochthera
Ochthera empiformis,Species,genus,yes,level of taxonomic resolution,Ochthera,Ochthera
Octogomphus,Genus,genus,no,,Octogomphus,Octogomphus
Odonata,Order,genus,no,,Odonata,Odonata
Odontoceridae,Family,genus,no,,Odontoceridae,Odontoceridae
Odontomesa,Genus,genus,no,,Odontomesa,Odontomesa
Odontomesa fulva,Species,genus,yes,level of taxonomic resolution,Odontomesa,Odontomesa
Odontomyia,Genus,genus,no,,Odontomyia,Odontomyia
Odontomyia /Hedriodiscus,Genus,genus,yes,syntax,Odontomyia/Hedriodiscus,Odontomyia/Hedriodiscus
Odontomyia/Hedriodiscus,Genus,genus,no,,Odontomyia/Hedriodiscus,Odontomyia/Hedriodiscus
Oecetis,Genus,genus,no,,Oecetis,Oecetis
Oecetis avara,Species,genus,yes,level of taxonomic resolution,Oecetis,Oecetis
Oecetis cinerascens,Species,genus,yes,level of taxonomic resolution,Oecetis,Oecetis
Oecetis disjuncta,Species,genus,yes,level of taxonomic resolution,Oecetis,Oecetis
Oecetis furva,Species,genus,yes,level of taxonomic resolution,Oecetis,Oecetis
Oecetis georgia/persimilis,Species,genus,yes,level of taxonomic resolution,Oecetis,Oecetis
Oecetis immobilis,Species,genus,yes,level of taxonomic resolution,Oecetis,Oecetis
Oecetis inconspicua,Species,genus,yes,level of taxonomic resolution,Oecetis,Oecetis
Oecetis morsei,Species,genus,yes,level of taxonomic resolution,Oecetis,Oecetis
Oecetis nocturna,Species,genus,yes,level of taxonomic resolution,Oecetis,Oecetis
Oecetis persimilis,Species,genus,yes,level of taxonomic resolution,Oecetis,Oecetis
Oecetis testacea,Species,genus,yes,level of taxonomic resolution,Oecetis,Oecetis
Oligochaeta,Subclass,subclass,no,,Oligochaeta,Oligochaeta
Oligoneuriidae,Family,genus,no,,Oligoneuriidae,Oligoneuriidae
Oligophlebodes,Genus,genus,no,,Oligophlebodes,Oligophlebodes
Oligostomis,Genus,genus,no,,Oligostomis,Oligostomis
Omisus,Genus,genus,no,,Omisus,Omisus
Onocosmoecus,Genus,genus,no,,Onocosmoecus,Onocosmoecus
Onocosmoecus unicolor,Species,genus,yes,level of taxonomic resolution,Onocosmoecus,Onocosmoecus
Ophidonais,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Ophidonais serpentina,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Ophiogomphus,Genus,genus,no,,Ophiogomphus,Ophiogomphus
Ophiogomphus carolus,Species,genus,yes,level of taxonomic resolution,Ophiogomphus,Ophiogomphus
Ophiogomphus colubrinus,Species,genus,yes,level of taxonomic resolution,Ophiogomphus,Ophiogomphus
Ophiogomphus rupinsulensis,Species,genus,yes,level of taxonomic resolution,Ophiogomphus,Ophiogomphus
Ophiogomphus westfalli,Species,genus,yes,level of taxonomic resolution,Ophiogomphus,Ophiogomphus
Opistocystidae,Family,class,no,,Opistocystidae,Opistocystidae
Oplonaeschna,Genus,genus,no,,Oplonaeschna,Oplonaeschna
Optioservus,Genus,genus,no,,Optioservus,Optioservus
Optioservus fastiditus,Species,genus,yes,level of taxonomic resolution,Optioservus,Optioservus
Optioservus ovalis,Species,genus,yes,level of taxonomic resolution,Optioservus,Optioservus
Optioservus sandersoni,Species,genus,yes,level of taxonomic resolution,Optioservus,Optioservus
Optioservus trivittatus,Species,genus,yes,level of taxonomic resolution,Optioservus,Optioservus
Optioservus/Oulimnius,Genus,genus,no,,Optioservus/Oulimnius,Optioservus/Oulimnius
Orconectes,Genus,genus,no,,Orconectes,Orconectes
Orconectes immunis,Species,genus,yes,level of taxonomic resolution,Orconectes,Orconectes
Orconectes limosus,Species,genus,yes,level of taxonomic resolution,Orconectes,Orconectes
Orconectes obscurus,Species,genus,yes,level of taxonomic resolution,Orconectes,Orconectes
Orconectes propinquus,Species,genus,yes,level of taxonomic resolution,Orconectes,Orconectes
Orconectes rusticus,Species,genus,yes,level of taxonomic resolution,Orconectes,Orconectes
Orconectes virilis,Species,genus,yes,level of taxonomic resolution,Orconectes,Orconectes
Ordobrevia,Genus,genus,no,,Ordobrevia,Ordobrevia
Oreodytes,Genus,genus,no,,Oreodytes,Oreodytes
Oreogeton,Genus,genus,no,,Oreogeton,Oreogeton
Oribatei,SubOrder,subclass,yes,level of taxonomic resolution,Acari,Acari
Oribatida,SubOrder,subclass,yes,level of taxonomic resolution,Acari,Acari
Orimarga,Genus,genus,no,,Orimarga,Orimarga
Ormosia,Genus,genus,no,,Ormosia,Ormosia
Orthemis,Genus,genus,no,,Orthemis,Orthemis
Orthocladiinae,Subfamily,genus,no,,Orthocladiinae,Orthocladiinae
Orthocladiinae Sp. C,Subfamily,genus,yes,level of taxonomic resolution,Orthocladiinae,Orthocladiinae
Orthocladius,Genus,genus,no,,Orthocladius,Orthocladius
Orthocladius (Eudactylocladius),SubGenus,genus,yes,level of taxonomic resolution,Orthocladius,Orthocladius
Orthocladius (Euortho.) rivulorum,Genus,genus,yes,level of taxonomic resolution,Orthocladius,Orthocladius
Orthocladius (Euorthocladius),SubGenus,genus,yes,level of taxonomic resolution,Orthocladius,Orthocladius
Orthocladius (Symp.) lignicola,Genus,genus,yes,level of taxonomic resolution,Orthocladius,Orthocladius
Orthocladius (Symposiocladius),SubGenus,genus,yes,level of taxonomic resolution,Orthocladius,Orthocladius
Orthocladius annectens,Species,genus,yes,level of taxonomic resolution,Orthocladius,Orthocladius
Orthocladius curtiseta,Species,genus,yes,level of taxonomic resolution,Orthocladius,Orthocladius
Orthocladius frigidus,Species,genus,yes,level of taxonomic resolution,Orthocladius,Orthocladius
Orthocladius lignicola,Species,genus,yes,level of taxonomic resolution,Orthocladius,Orthocladius
Orthocladius mallochi,Species,genus,yes,level of taxonomic resolution,Orthocladius,Orthocladius
Orthopodomyia,Genus,genus,no,,Orthopodomyia,Orthopodomyia
Orthotrichia,Genus,genus,no,,Orthotrichia,Orthotrichia
Ostracoda,Class,,yes,non target,DNI,DNI
Ostrocerca,Genus,genus,no,,Ostrocerca,Ostrocerca
Oulimnius,Genus,genus,no,,Oulimnius,Oulimnius
Oulimnius latiusculus,Species,genus,yes,level of taxonomic resolution,Oulimnius,Oulimnius
Oxidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Oxycera,Genus,genus,no,,Oxycera,Oxycera
Oxyethira,Genus,genus,no,,Oxyethira,Oxyethira
Oxyethira pallida,Species,genus,yes,level of taxonomic resolution,Oxyethira,Oxyethira
Pachydiplax,Genus,genus,no,,Pachydiplax,Pachydiplax
Pachydiplax longipennis,Species,genus,yes,level of taxonomic resolution,Pachydiplax,Pachydiplax
Pagastia,Genus,genus,no,,Pagastia,Pagastia
Pagastiella,Genus,genus,no,,Pagastiella,Pagastiella
Pagastiella ostansa,Species,genus,yes,level of taxonomic resolution,Pagastia,Pagastia
Palaeagapetus,Genus,genus,no,,Palaeagapetus,Palaeagapetus
Palaeagapetus celsus,Species,genus,yes,level of taxonomic resolution,Palaeagapetus,Palaeagapetus
Palaemonetes,Genus,genus,no,,Palaemonetes,Palaemonetes
Palaemonetes paludosus,Species,genus,yes,level of taxonomic resolution,Palaemonetes,Palaemonetes
Palaemonidae,Family,genus,no,,Palaemonidae,Palaemonidae
Palmacorixa,Genus,genus,no,,Palmacorixa,Palmacorixa
Palmacorixa nana,Species,genus,yes,level of taxonomic resolution,Palmacorixa,Palmacorixa
Palpomyia,Genus,genus,no,,Palpomyia,Palpomyia
Paraboreochlus,Genus,genus,no,,Paraboreochlus,Paraboreochlus
Paracapnia,Genus,genus,no,,Paracapnia,Paracapnia
Paracapnia angulata,Species,genus,yes,level of taxonomic resolution,Paracapnia,Paracapnia
Parachaetocladius,Genus,genus,no,,Parachaetocladius,Parachaetocladius
Parachironomus,Genus,genus,no,,Parachironomus,Parachironomus
Parachironomus frequens,Species,genus,yes,level of taxonomic resolution,Parachironomus,Parachironomus
Paracladius,Genus,genus,no,,Paracladius,Paracladius
Paracladopelma,Genus,genus,no,,Paracladopelma,Paracladopelma
Paracladopelma nais,Species,genus,yes,level of taxonomic resolution,Paracladopelma,Paracladopelma
Paracladopelma nereis,Species,genus,yes,level of taxonomic resolution,Paracladopelma,Paracladopelma
Paracladopelma undine,Species,genus,yes,level of taxonomic resolution,Paracladopelma,Paracladopelma
Paracloeodes,Genus,genus,no,,Paracloeodes,Paracloeodes
Paracloeodes minutus,Species,genus,yes,level of taxonomic resolution,Paracloeodes,Paracloeodes
Paracricotopus,Genus,genus,no,,Paracricotopus,Paracricotopus
Paracymus,Genus,genus,no,,Paracymus,Paracymus
Paracymus subcupreus,Species,genus,yes,level of taxonomic resolution,Paracymus,Paracymus
Paragnetina,Genus,genus,no,,Paragnetina,Paragnetina
Paragnetina fumosa,Species,genus,yes,level of taxonomic resolution,Paragnetina,Paragnetina
Paragnetina immarginata,Species,genus,yes,level of taxonomic resolution,Paragnetina,Paragnetina
Paragnetina media,Species,genus,yes,level of taxonomic resolution,Paragnetina,Paragnetina
Parakiefferiella,Genus,genus,no,,Parakiefferiella,Parakiefferiella
