Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Glyptotendipes sp.,Glyptotendipes,yes,sp.,Glyptotendipes,Chironomidae
Gomphidae,Gomphidae,no,,Gomphidae,Odonata
Gomphidae (club tail),Gomphidae,yes,naming scheme,Gomphidae,Odonata
Gomphus (clubtail dragonfly),Gomphidae,yes,naming scheme,Gomphidae,Odonata
Gonidea angulata (western ridged mussel),DNI,yes,OR/WA note: was an Anodonta brackish or tidally influenced freshwater,DNI,
Gonomyia,Gonomyia,no,,Gonomyia,Diptera
Gonomyia sp.,Gonomyia,yes,sp.,Gonomyia,Diptera
Guttipelopia,Guttipelopia,no,,Guttipelopia,Chironomidae
Gymnometriocnemus,Gymnometriocnemus,no,,Gymnometriocnemus,Chironomidae
Gymnometriocnemus sp.,Gymnometriocnemus,yes,sp.,Gymnometriocnemus,Chironomidae
Gyraulus,Gyraulus,no,,Gyraulus,Mollusca
Gyraulus parvus,Gyraulus,yes,backed off to genus,Gyraulus,Mollusca
Gyraulus sp.,Gyraulus,yes,sp.,Gyraulus,Mollusca
Gyrinidae,Gyrinidae,no,,Gyrinidae,Coleoptera
Gyrinus,Gyrinidae,yes,backed off to family,Gyrinidae,Coleoptera
Gyrinus sp.,Gyrinidae,yes,backed off to family,Gyrinidae,Coleoptera
Haliplidae,Haliplidae,no,,Haliplidae,Coleoptera
Haliplus,Haliplus,no,,Haliplus,Coleoptera
Haliplus sp.,Haliplus,yes,sp.,Haliplus,Coleoptera
Haplotaxida,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Haplotaxidae,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Haplotaxis,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Haplotaxis cf. gordioides,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Haplotaxis sp.,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Harnischia,Harnischia,no,,Harnischia,Chironomidae
Heledon/Prosimulium,Helodon/Prosimulium,yes,Slashed taxon,Helodon/Prosimulium,Diptera
Heleniella,Heleniella,no,,Heleniella,Chironomidae
Heleniella sp.,Heleniella,yes,sp.,Heleniella,Chironomidae
Helichus,Helichus,no,,Helichus,Coleoptera
Helichus sp.,Helichus,yes,sp.,Helichus,Coleoptera
Helichus striatus,Helichus,yes,backed off to genus,Helichus,Coleoptera
Helicopsyche,Helicopsyche,no,,Helicopsyche,Trichoptera
Helicopsyche borealis,Helicopsyche,yes,backed off to genus,Helicopsyche,Trichoptera
Helicopsyche sp.,Helicopsyche,yes,sp.,Helicopsyche,Trichoptera
Helisoma,Helisoma,no,,Helisoma,Mollusca
"Helisoma anceps (very large snail, ram horns)",Helisoma,yes,naming scheme,Helisoma,Mollusca
Helobdella,Helobdella,no,,Helobdella,Leeches
Helobdella stagnalis,Helobdella,yes,backed off to genus,Helobdella,Leeches
Helobdella stagnalis complex,Helobdella,yes,backed off to genus,Helobdella,Leeches
Helodon,Helodon/Prosimulium,yes,Slashed taxon,Helodon/Prosimulium,Diptera
Helodon sp.,Helodon/Prosimulium,yes,Slashed taxon,Helodon/Prosimulium,Diptera
Helodon/Prosimulium,Helodon/Prosimulium,no,,Helodon/Prosimulium,Diptera
Helopelopia,Thienemannimyia Group,yes,nomenclature,Thienemannimyia Group,Chironomidae
Helophorus,Helophorus,no,,Helophorus,Coleoptera
Helophorus sp.,Helophorus,yes,sp.,Helophorus,Coleoptera
Hemerodromia,Hemerodromia,no,,Hemerodromia,Diptera
Hemerodromia sp.,Hemerodromia,yes,sp.,Hemerodromia,Diptera
Heptagenia,Heptageniidae,yes,backed off to family,Heptageniidae,Ephemeroptera
Heptagenia sp.,Heptageniidae,yes,backed off to family,Heptageniidae,Ephemeroptera
Heptagenia/Nixe,Heptageniidae,yes,backed off to family,Heptageniidae,Ephemeroptera
Heptageniidae,Heptageniidae,no,,Heptageniidae,Ephemeroptera
Hesperoconopa,Hesperoconopa,no,,Hesperoconopa,Diptera
Hesperoconopa sp.,Hesperoconopa,yes,sp.,Hesperoconopa,Diptera
Hesperoperla,Hesperoperla pacifica,yes,monotypic,Hesperoperla pacifica,Plecoptera
Hesperoperla pacifica,Hesperoperla pacifica,no,monotypic in OR/WA,Hesperoperla pacifica,Plecoptera
Hesperophylax,Hesperophylax,no,,Hesperophylax,Trichoptera
Hesperophylax sp.,Hesperophylax,yes,sp.,Hesperophylax,Trichoptera
Heterlimnius,Heterlimnius corpulentus,yes,monotypic,Heterlimnius corpulentus,Coleoptera
Heterlimnius corpulentus,Heterlimnius corpulentus,no,monotypic,Heterlimnius corpulentus,Coleoptera
Heterlimnius sp.,Heterlimnius corpulentus,yes,monotypic,Heterlimnius corpulentus,Coleoptera
Heterocloeon,Heterocloeon,no,,Heterocloeon,Ephemeroptera
Heterocloeon sp.,Heterocloeon,yes,sp.,Heterocloeon,Ephemeroptera
Heterotrissocladius,Heterotrissocladius,no,,Heterotrissocladius,Chironomidae
Heterotrissocladius Marcidus Gr.,Heterotrissocladius Marcidus Group,yes,FORMATTING,Heterotrissocladius Marcidus Group,Chironomidae
Heterotrissocladius Marcidus Group,Heterotrissocladius Marcidus Group,no,,Heterotrissocladius Marcidus Group,Chironomidae
Heterotrissocladius subpilosa gr.,Heterotrissocladius,yes,OR/WA backed off to genus; known from Artic north and Arctic Europe,Heterotrissocladius,Chironomidae
Hexagenia,Hexagenia,no,,Hexagenia,Ephemeroptera
Hexatoma,Hexatoma,no,,Hexatoma,Diptera
Hexatoma sp.,Hexatoma,yes,sp.,Hexatoma,Diptera
Hirudinea,Hirudinea,no,,Hirudinea,Leeches
Homophylax,Homophylax,no,,Homophylax,Trichoptera
Homophylax sp.,Homophylax,yes,sp.,Homophylax,Trichoptera
