Taxon_Group,Taxon_orig,Taxon_v2,OTU_MTTI_jan23,Changed,Rationale,NonTarget,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Oligochaeta,Branchiura,Branchiura,DNI,no,,FALSE,Oligochaeta,68619,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Branchiura,,,,,
Oligochaeta,Branchiura sowerbyi,Branchiura,DNI,yes,,FALSE,Oligochaeta,68619,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Branchiura,,,,,
Oligochaeta,Rhyacodrilis,Rhyacodrilus,DNI,yes,,FALSE,Oligochaeta,68839,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Rhyacodrilus,,,,,
Oligochaeta,Rhyacodrilus,Rhyacodrilus,DNI,no,,FALSE,Oligochaeta,68839,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Rhyacodrilus,,,,,
Oligochaeta,Rhyacodrilus falciformis,Rhyacodrilus,DNI,yes,,FALSE,Oligochaeta,68839,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Rhyacodrilus,,,,,
Oligochaeta,Rhyacodrilinae,Rhyacodrilinae,DNI,no,,FALSE,Oligochaeta,974287,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,,,,,,
Oligochaeta,Telmatodrilus vejdovskyi,Telmatodrilus vejdovskyi,DNI,no,,FALSE,Oligochaeta,68760,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Telmatodrilinae,,,Telmatodrilus,,,,,vejdovskyi
Oligochaeta,Aulodrilus,Aulodrilus,Tubificinae,no,,FALSE,Oligochaeta,68679,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Aulodrilus,,,,,
Oligochaeta,Aulodrilus pluriseta,Aulodrilus,Tubificinae,yes,,FALSE,Oligochaeta,68679,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Aulodrilus,,,,,
Oligochaeta,Ilyodrilus,Ilyodrilus,Tubificinae,no,,FALSE,Oligochaeta,68660,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Ilyodrilus,,,,,
Oligochaeta,Limnodrilus,Limnodrilus,Tubificinae,no,,FALSE,Oligochaeta,68638,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Limnodrilus,,,,,
Oligochaeta,Limnodrilus hoffmeisteri,Limnodrilus,Tubificinae,yes,,FALSE,Oligochaeta,68638,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Limnodrilus,,,,,
Oligochaeta,Potamothrix,Potamothrix,Tubificinae,no,,FALSE,Oligochaeta,68786,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Potamothrix,,,,,
Oligochaeta,Quistadrilus multisetosus,Quistradrilus,Tubificinae,yes,,FALSE,Oligochaeta,68793,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Quistradrilus,,,,,
Oligochaeta,Quistradrilus,Quistradrilus,Tubificinae,no,,FALSE,Oligochaeta,68793,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Quistradrilus,,,,,
Oligochaeta,Spirosperma,Spirosperma,Tubificinae,no,,FALSE,Oligochaeta,68780,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Spirosperma,,,,,
Oligochaeta,Spirosperma nikolskyi,Spirosperma,Tubificinae,yes,,FALSE,Oligochaeta,68780,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Spirosperma,,,,,
