TAXAID,FAMILY,GENUS,COMMONNAME,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION
HYBOGNATHUS ARGYRITIS,CYPRINIDAE,HYBOGNATHUS,WESTERN SILVERY MINNOW,2,II,2_MIDDLE,II,2,NATIVE,OM,F,
HYBOGNATHUS HANKINSONI,CYPRINIDAE,HYBOGNATHUS,BRASSY MINNOW,4,IV,4_BETTER,IVa,4,NATIVE,HB,F,BROADCASTER
HYBOGNATHUS HAYI,CYPRINIDAE,HYBOGNATHUS,CYPRESS MINNOW,3,III,3_MIDDLE,III,3,NATIVE,HB,F,BROADCASTER
HYBOGNATHUS NUCHALIS,CYPRINIDAE,HYBOGNATHUS,MISSISSIPPI SILVERY MINNOW,2,II,2_MIDDLE,II,2,NATIVE,HB,F,BROADCASTER
HYBOGNATHUS PLACITUS,CYPRINIDAE,HYBOGNATHUS,PLAINS MINNOW,2,II,2_MIDDLE,II,2,NATIVE,HB,F,
HYBOPSIS AMBLOPS,CYPRINIDAE,HYBOPSIS,BIGEYE CHUB,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,BROADCASTER; LITHOPHIL
HYBOPSIS AMNIS,CYPRINIDAE,HYBOPSIS,PALLID SHINER,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,BROADCASTER; LITHOPHIL
HYBOPSIS DORSALIS,CYPRINIDAE,HYBOPSIS,BIGMOUTH SHINER,4,IV,4_BETTER,IVa,4,NATIVE,IV,F,BROADCASTER
HYPENTELIUM NIGRICANS,CATOSTOMIDAE,HYPENTELIUM,NORTHERN HOG SUCKER,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; LITHOPHIL
HYPOPHTHALMICHTHYS MOLITRIX,CYPRINIDAE,HYPOPHTHALMICHTHYS,SILVER CARP,4,IV,4_WORSE,IVb,4.5,NON_NATIVE,OM,W,BROADCASTER
HYPOPHTHALMICHTHYS NOBILIS,CYPRINIDAE,HYPOPHTHALMICHTHYS NOBILIS,BIGHEAD CARP,4,IV,4_WORSE,IVb,4.5,NON_NATIVE,OM,W,BROADCASTER
HYPOPHTHALMICHTHYS NOBILIS X MOLITRIX,CYPRINIDAE,HYPOPHTHALMICHTHYS NOBILIS,BIGHEAD CARP X SILVER CARP,,,,,,NON_NATIVE,OM,W,
ICHTHYOMYZON,PETROMYZONTIDAE,ICHTHYOMYZON,LAMPREY ICHTHYOMYZON,3,III,3_MIDDLE,III,3,NATIVE,TC,,
ICHTHYOMYZON CASTANEUS,PETROMYZONTIDAE,ICHTHYOMYZON,CHESTNUT LAMPREY,3,III,3_BETTER,IIIa,3,NATIVE,TC,,SIMPLE NEST; LITHOPHIL
