Taxon_Group,Taxon_orig,NonTarget,Rationale,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,OTU_Final,OTU_Lowest,OTU_Genus,OTU_Family,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank
,,,MN Access db,96,Hydrachnidae,Acari,Acari,Acari,NA,NA,NA,83122,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hydrachnidae,,,,,,,Family
,,,MN Access db,97,Hydrachna,Acari,Acari,Acari,NA,NA,NA,83123,83122,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hydrachnidae,,,Hydrachna,,,,Genus
,,,MN Access db,98,Hydrodromidae,Acari,Acari,Acari,NA,NA,NA,83224,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hydrodromidae,,,,,,,Family
,,,MN Access db,99,Hydrodroma,Acari,Acari,Acari,NA,NA,NA,83225,83224,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hydrodromidae,,,Hydrodroma,,,,Genus
,,,MN Access db,100,Hydryphantidae,Acari,Acari,Acari,NA,NA,NA,83212,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hydryphantidae,,,,,,,Family
,,,MN Access db,101,Atractides,Acari,Acari,Acari,NA,NA,NA,83282,83281,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hygrobatidae,,,Atractides,,,,Genus
,,,MN Access db,102,Hygrobates,Acari,Acari,Acari,NA,NA,NA,83297,83281,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hygrobatidae,,,Hygrobates,,,,Genus
,,,MN Access db,103,Krendowskiidae,Acari,Acari,Acari,NA,NA,NA,83499,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Krendowskiidae,,,,,,,Family
,,,MN Access db,104,Lebertiidae,Acari,Acari,Acari,NA,NA,NA,83033,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Lebertiidae,,,,,,,Family
,,,MN Access db,105,Lebertia,Acari,Acari,Acari,NA,NA,NA,83034,83033,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Lebertiidae,,,Lebertia,,,,Genus
